Dalvik/1.6.0(Linux; U; Android 4.2.2;CPH2099 Build/LR5KV5D2)[FBAN/FB4A;FBAV/110.0.0.24.63FBBV/4476684FBDM={density=3.0,width=522,height=1625}FBLC/ja_JPFBRV/9239175FBCR/T-MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;ASUS_Z017 Build/DO7R4UJA)[FBAN/FB4A;FBAV/95.0.0.20.99FBBV/3574805FBDM={density=3.0,width=729,height=1532}FBLC/de_DEFBRV/7310095FBCR/TelecomFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;Mi 9T Build/X3348FQX)[FBAN/FB4A;FBAV/80.0.0.86.49FBBV/9284533FBDM={density=3.0,width=468,height=1153}FBLC/ja_JPFBRV/3179596FBCR/TelecomFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;Mate 20 Pro Build/V5LESG89)[FBAN/FB4A;FBAV/116.0.0.23.68FBBV/7037070FBDM={density=3.0,width=445,height=944}FBLC/en_USFBRV/8454423FBCR/Boost MobileFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Mate 20 ProFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;ASUS_Z007 Build/387894O3)[FBAN/FB4A;FBAV/99.0.0.56.63FBBV/3986685FBDM={density=3.0,width=676,height=1040}FBLC/de_DEFBRV/9647395FBCR/T-MobileFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;Pixel 6 Pro Build/GNZNSLR2)[FBAN/FB4A;FBAV/99.0.0.23.4FBBV/3725443FBDM={density=3.0,width=555,height=1776}FBLC/zh_TWFBRV/3530909FBCR/AT&TFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6 ProFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;LM-Q710 Build/J64ER2K5)[FBAN/FB4A;FBAV/101.0.0.99.30FBBV/7315056FBDM={density=3.0,width=368,height=1123}FBLC/en_USFBRV/7387996FBCR/OrangeFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;Mi 9T Build/BVVOZALQ)[FBAN/FB4A;FBAV/108.0.0.84.9FBBV/2548493FBDM={density=3.0,width=665,height=1030}FBLC/de_DEFBRV/8961362FBCR/TelecomFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;Moto G Fast Build/4Z8DYDJZ)[FBAN/FB4A;FBAV/118.0.0.97.57FBBV/7733768FBDM={density=3.0,width=976,height=1589}FBLC/zh_CNFBRV/6592522FBCR/AT&TFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;Xperia 1 II Build/VBAVIXHP)[FBAN/FB4A;FBAV/115.0.0.98.2FBBV/2129164FBDM={density=3.0,width=731,height=1673}FBLC/ko_KRFBRV/5721592FBCR/O2FBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;CPH2171 Build/VR7FCXCK)[FBAN/FB4A;FBAV/85.0.0.52.6FBBV/7408585FBDM={density=3.0,width=1035,height=1242}FBLC/en_USFBRV/1219476FBCR/T-MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;Pixel 4a Build/3Y0RNT3K)[FBAN/FB4A;FBAV/82.0.0.10.5FBBV/6899793FBDM={density=3.0,width=841,height=793}FBLC/pt_BRFBRV/6583421FBCR/O2FBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;Pixel 5a Build/EU392I73)[FBAN/FB4A;FBAV/89.0.0.38.20FBBV/5413433FBDM={density=3.0,width=568,height=890}FBLC/en_USFBRV/6925920FBCR/T-MobileFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 5aFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Xperia 10 IV Build/3FMCEEDH)[FBAN/FB4A;FBAV/106.0.0.17.18FBBV/7216532FBDM={density=3.0,width=798,height=953}FBLC/pt_BRFBRV/1684746FBCR/T-MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10 IVFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;Mate 20 Pro Build/BCCDIKXM)[FBAN/FB4A;FBAV/106.0.0.36.56FBBV/973853FBDM={density=3.0,width=928,height=650}FBLC/ko_KRFBRV/8330935FBCR/OrangeFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Mate 20 ProFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;LM-Q710 Build/TFH01TRN)[FBAN/FB4A;FBAV/97.0.0.15.20FBBV/617057FBDM={density=3.0,width=1063,height=673}FBLC/zh_CNFBRV/7650564FBCR/TelecomFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;SM-N975F Build/FCFWXCXS)[FBAN/FB4A;FBAV/110.0.0.82.17FBBV/9778674FBDM={density=3.0,width=760,height=1543}FBLC/it_ITFBRV/6959898FBCR/T-MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-N975FFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;P40 Pro Build/W3DABCA2)[FBAN/FB4A;FBAV/96.0.0.78.66FBBV/4652097FBDM={density=3.0,width=579,height=1643}FBLC/ko_KRFBRV/6567449FBCR/OrangeFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;ASUS_Z007 Build/ZB6HB8SK)[FBAN/FB4A;FBAV/96.0.0.42.13FBBV/7828214FBDM={density=3.0,width=600,height=1632}FBLC/fr_FRFBRV/6905122FBCR/TelecomFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;Moto G Play Build/RM62MCCU)[FBAN/FB4A;FBAV/109.0.0.76.55FBBV/9489014FBDM={density=3.0,width=622,height=1568}FBLC/ja_JPFBRV/9396177FBCR/SprintFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PlayFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;V2027 Build/2AK09IY1)[FBAN/FB4A;FBAV/81.0.0.5.22FBBV/194844FBDM={density=3.0,width=829,height=672}FBLC/fr_FRFBRV/264790FBCR/Boost MobileFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2027FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 12.0;Pixel 5a Build/HRIY43XQ)[FBAN/FB4A;FBAV/101.0.0.67.16FBBV/4578450FBDM={density=3.0,width=1045,height=1597}FBLC/de_DEFBRV/3339410FBCR/VerizonFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 5aFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;Xperia 5 II Build/0RCWGGTF)[FBAN/FB4A;FBAV/112.0.0.56.70FBBV/2104385FBDM={density=3.0,width=822,height=1140}FBLC/de_DEFBRV/5015298FBCR/TelecomFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;LM-X410 Build/KEUN3SSI)[FBAN/FB4A;FBAV/103.0.0.53.45FBBV/9327466FBDM={density=3.0,width=802,height=1583}FBLC/it_ITFBRV/5516863FBCR/OrangeFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;CPH2147 Build/JWP9BIE2)[FBAN/FB4A;FBAV/83.0.0.88.18FBBV/2067965FBDM={density=3.0,width=576,height=1718}FBLC/de_DEFBRV/4367199FBCR/OrangeFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;Pixel 4a Build/9YM45DKV)[FBAN/FB4A;FBAV/108.0.0.29.25FBBV/7059517FBDM={density=3.0,width=447,height=1888}FBLC/zh_TWFBRV/5543232FBCR/O2FBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;LM-Q710 Build/ISZBBRNW)[FBAN/FB4A;FBAV/102.0.0.38.19FBBV/3647208FBDM={density=3.0,width=899,height=1596}FBLC/ko_KRFBRV/8758534FBCR/O2FBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Pixel 5a Build/BKF2FRKM)[FBAN/FB4A;FBAV/91.0.0.66.83FBBV/2107599FBDM={density=3.0,width=377,height=1837}FBLC/en_USFBRV/9669312FBCR/VerizonFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 5aFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;CPH2171 Build/D216N9TC)[FBAN/FB4A;FBAV/104.0.0.81.94FBBV/1608618FBDM={density=3.0,width=396,height=1693}FBLC/zh_CNFBRV/5804301FBCR/VerizonFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;V2010 Build/APTNHPRV)[FBAN/FB4A;FBAV/114.0.0.5.97FBBV/8168452FBDM={density=3.0,width=1060,height=1518}FBLC/ko_KRFBRV/9289676FBCR/AT&TFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;V2007 Build/N1IFZ7DZ)[FBAN/FB4A;FBAV/83.0.0.4.23FBBV/1267082FBDM={density=3.0,width=661,height=751}FBLC/ja_JPFBRV/8198394FBCR/TelecomFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;CPH2147 Build/7DW9MG2F)[FBAN/FB4A;FBAV/92.0.0.38.75FBBV/7266389FBDM={density=3.0,width=1023,height=1374}FBLC/pt_BRFBRV/1245553FBCR/OrangeFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;SM-A127F Build/E7CT0DEC)[FBAN/FB4A;FBAV/90.0.0.34.60FBBV/6375210FBDM={density=3.0,width=1031,height=1787}FBLC/de_DEFBRV/3624892FBCR/O2FBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;CPH2099 Build/S6VQEWZT)[FBAN/FB4A;FBAV/112.0.0.95.97FBBV/111518FBDM={density=3.0,width=1009,height=987}FBLC/it_ITFBRV/5890683FBCR/OrangeFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Moto G Power Build/X8LLVPD7)[FBAN/FB4A;FBAV/87.0.0.100.93FBBV/5484780FBDM={density=3.0,width=699,height=1649}FBLC/de_DEFBRV/9768528FBCR/VerizonFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;CPH2127 Build/UT1OHNRS)[FBAN/FB4A;FBAV/115.0.0.1.29FBBV/6542003FBDM={density=3.0,width=653,height=1712}FBLC/ja_JPFBRV/709309FBCR/AT&TFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Xperia 10 Build/XFE3Z9I7)[FBAN/FB4A;FBAV/82.0.0.31.38FBBV/974872FBDM={density=3.0,width=962,height=1604}FBLC/pt_BRFBRV/7544050FBCR/O2FBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 12.0;ASUS_Z007 Build/R36Q80G5)[FBAN/FB4A;FBAV/100.0.0.38.83FBBV/1794303FBDM={density=3.0,width=853,height=1479}FBLC/fr_FRFBRV/2909927FBCR/VerizonFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;Pixel 6 Build/7TVKX5IP)[FBAN/FB4A;FBAV/92.0.0.74.83FBBV/7291099FBDM={density=3.0,width=1074,height=1126}FBLC/de_DEFBRV/6856707FBCR/VodafoneFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 6.0;Xperia 10 IV Build/VR4SLJZE)[FBAN/FB4A;FBAV/100.0.0.82.64FBBV/5935473FBDM={density=3.0,width=413,height=1471}FBLC/zh_CNFBRV/3879736FBCR/VerizonFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10 IVFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;ASUS_Z017 Build/DYBPAG8S)[FBAN/FB4A;FBAV/102.0.0.51.19FBBV/9072326FBDM={density=3.0,width=821,height=1501}FBLC/ko_KRFBRV/1296749FBCR/SprintFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;LM-X410 Build/LVUC1ASE)[FBAN/FB4A;FBAV/119.0.0.85.86FBBV/6995417FBDM={density=3.0,width=583,height=1515}FBLC/es_ESFBRV/3288868FBCR/O2FBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;Pixel 4a Build/5MFAKRGQ)[FBAN/FB4A;FBAV/87.0.0.81.39FBBV/5595173FBDM={density=3.0,width=668,height=1818}FBLC/it_ITFBRV/8113710FBCR/OrangeFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;Pixel 6 Pro Build/BR4IQSM3)[FBAN/FB4A;FBAV/96.0.0.76.12FBBV/6456604FBDM={density=3.0,width=667,height=1139}FBLC/en_USFBRV/8648841FBCR/VodafoneFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6 ProFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;Xperia 10 Build/HLY6AHPA)[FBAN/FB4A;FBAV/85.0.0.41.19FBBV/9947021FBDM={density=3.0,width=630,height=1477}FBLC/es_ESFBRV/2876153FBCR/VodafoneFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;Mi 9T Build/3XADIK4I)[FBAN/FB4A;FBAV/105.0.0.100.21FBBV/4481247FBDM={density=3.0,width=642,height=1586}FBLC/ja_JPFBRV/2720237FBCR/TelecomFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;Redmi Note 9 Pro Build/PVLB0P2R)[FBAN/FB4A;FBAV/83.0.0.18.91FBBV/7204362FBDM={density=3.0,width=393,height=676}FBLC/zh_CNFBRV/1972331FBCR/TelecomFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;SM-A528B Build/P5YPHRVK)[FBAN/FB4A;FBAV/100.0.0.10.19FBBV/6387795FBDM={density=3.0,width=808,height=1819}FBLC/pt_BRFBRV/2608360FBCR/O2FBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;LM-X410 Build/ADMTN6U2)[FBAN/FB4A;FBAV/81.0.0.4.79FBBV/3699717FBDM={density=3.0,width=427,height=1895}FBLC/de_DEFBRV/7834495FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;V2072 Build/CAEB5CCZ)[FBAN/FB4A;FBAV/88.0.0.69.71FBBV/4117994FBDM={density=3.0,width=761,height=1747}FBLC/de_DEFBRV/5181383FBCR/OrangeFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;V2072 Build/SL34HNWB)[FBAN/FB4A;FBAV/111.0.0.7.37FBBV/6495287FBDM={density=3.0,width=556,height=777}FBLC/ja_JPFBRV/8191184FBCR/AT&TFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;SM-G973F Build/ZOAYA1OH)[FBAN/FB4A;FBAV/110.0.0.68.6FBBV/1091013FBDM={density=3.0,width=378,height=1126}FBLC/fr_FRFBRV/7982491FBCR/T-MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-G973FFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;LM-G820 Build/AGV7R0J6)[FBAN/FB4A;FBAV/94.0.0.3.67FBBV/4573133FBDM={density=3.0,width=515,height=1723}FBLC/zh_CNFBRV/6661383FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;CPH2127 Build/ZYW82AJ5)[FBAN/FB4A;FBAV/93.0.0.50.40FBBV/6447938FBDM={density=3.0,width=899,height=1249}FBLC/es_ESFBRV/8375339FBCR/VodafoneFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;Pixel 6 Build/NIAACHDS)[FBAN/FB4A;FBAV/98.0.0.1.23FBBV/8706456FBDM={density=3.0,width=457,height=1202}FBLC/ja_JPFBRV/6622469FBCR/Boost MobileFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;Poco X3 NFC Build/B0D8QEQG)[FBAN/FB4A;FBAV/117.0.0.98.99FBBV/1758905FBDM={density=3.0,width=723,height=1495}FBLC/ja_JPFBRV/9512978FBCR/AT&TFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 12.0;Moto G Stylus Build/9YTDXFAH)[FBAN/FB4A;FBAV/92.0.0.9.60FBBV/4757502FBDM={density=3.0,width=764,height=1268}FBLC/en_USFBRV/6438646FBCR/AT&TFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G StylusFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Xperia 1 II Build/P1IE3VLU)[FBAN/FB4A;FBAV/99.0.0.58.28FBBV/8632759FBDM={density=3.0,width=786,height=1490}FBLC/ko_KRFBRV/4288334FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;Pixel 5a Build/1W31104R)[FBAN/FB4A;FBAV/86.0.0.25.100FBBV/1351072FBDM={density=3.0,width=911,height=962}FBLC/en_USFBRV/3421670FBCR/VerizonFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 5aFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;V2007 Build/VH9NQMJ7)[FBAN/FB4A;FBAV/113.0.0.5.7FBBV/7521709FBDM={density=3.0,width=591,height=1052}FBLC/es_ESFBRV/1678238FBCR/AT&TFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 6.0;Mi 10T Pro Build/4HN1HCR9)[FBAN/FB4A;FBAV/87.0.0.46.52FBBV/4162826FBDM={density=3.0,width=814,height=1686}FBLC/pt_BRFBRV/1062950FBCR/SprintFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 10T ProFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;SM-A528B Build/PSB3P22S)[FBAN/FB4A;FBAV/84.0.0.18.73FBBV/8229537FBDM={density=3.0,width=955,height=1792}FBLC/de_DEFBRV/3557860FBCR/Boost MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;ASUS_Z012 Build/N1VU5SCY)[FBAN/FB4A;FBAV/90.0.0.20.28FBBV/5530177FBDM={density=3.0,width=402,height=788}FBLC/zh_CNFBRV/143483FBCR/VodafoneFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z012FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
